RotMat, OrthoRotMat, Quat, OrthoQuat
0.005665792982454864, 0.00543282328548453, 0.0018494921850079745, 0.0016247311004787878, 0.0
0.0077806572890034105, 0.008427209718670645, 0.003081453537938335, 0.0026981270247240694, 0.0
0.008937240655034531, 0.009503300462796368, 0.0033113314346742613, 0.0029069668921292277, 0.0
0.006074901314028157, 0.005912369267901582, 0.00210723384285358, 0.0017830783051780638, 0.0
0.006848952149229792, 0.0070495477155990815, 0.0024934339010548798, 0.0021399418761857258, 0.0
0.009285079130431884, 0.010073434782607246, 0.0035082878260878263, 0.0030432872463776813, 0.0
0.00783242096018794, 0.008612731557374707, 0.0031637321428580212, 0.0027809593091305622, 0.0
0.00591171095750128, 0.005847307475678188, 0.0020247145417316946, 0.0017385860215053763, 0.0
0.006061430037816855, 0.006006813074012425, 0.0020656715289016745, 0.0017981458670961643, 0.0
0.005927565364072252, 0.005861001405678662, 0.0020604264829915658, 0.0017717292662333428, 0.0
0.0060671173242746275, 0.006060246929709694, 0.002132110007837209, 0.0018349440815262606, 0.0
0.005907306468439489, 0.006001478612415754, 0.0020768067292639544, 0.001797394887845592, 0.0
0.006577010106383245, 0.00642274574468032, 0.002053983510637766, 0.001762912234043617, 0.0
0.006135964161114494, 0.005977477006027593, 0.002068182048843958, 0.0017974751030770694, 0.0
0.00829007278480984, 0.008740914556960298, 0.003023394994248274, 0.002652958573073072, 0.0
0.009155214638397328, 0.009911000000001162, 0.003352147836185594, 0.0029126311356352016, 0.0
0.005542440055248619, 0.005587616574585359, 0.001970011602209116, 0.001682226795580663, 0.0
0.0057910447300755785, 0.005764111053984319, 0.0019796210796928023, 0.001756489460156298, 0.0
0.00658894273127631, 0.00632283406754748, 0.0019896730298573175, 0.0016779557023976995, 0.0
0.005614238948624253, 0.00562195489844773, 0.001940648446831541, 0.0016684372759853644, 0.0
0.005899509234029972, 0.005882552528005449, 0.0020001456251916437, 0.0017218125946109597, 0.0
0.007768753199779633, 0.008165806343905955, 0.0028618096828057875, 0.0024960236505292156, 0.0
0.005985792410713728, 0.00588968610491183, 0.0020020128348211498, 0.0017847859933044084, 0.0
0.006655112570918782, 0.006451321289935802, 0.0021118536876676623, 0.0018195974917885938, 0.0
0.006556694945314513, 0.006810913094886492, 0.0023516112917528822, 0.002026442802246231, 0.0
0.007833113132321705, 0.007875078744082234, 0.0027802526787944182, 0.0023870969349611268, 0.0
0.005976437448444597, 0.0058707673907077255, 0.002024858674730547, 0.0017812719274140775, 0.0
0.0056449885196359515, 0.005583981570999698, 0.0019045145015111785, 0.0016621564954673717, 0.0
0.005913350768471741, 0.005816207486363906, 0.0020110713931588997, 0.001726419186912246, 0.0
0.005587628785694837, 0.005505592443032593, 0.0018640709547161813, 0.0016485223536189789, 0.0
